chip_path,mse_score,is_anomaly
data\processed\test_chips\Apollo 11 landing site_chip_0105.tif,0.013085223734378815,False
data\processed\test_chips\Apollo 11 landing site_chip_0106.tif,0.024751517921686172,True
data\processed\test_chips\Apollo 11 landing site_chip_0107.tif,0.020966561511158943,True
data\processed\test_chips\Apollo 11 landing site_chip_0108.tif,0.017872346565127373,False
data\processed\test_chips\Apollo 11 landing site_chip_0109.tif,0.008524284698069096,False
data\processed\test_chips\Apollo 11 landing site_chip_0110.tif,0.012649048119783401,False
data\processed\test_chips\Apollo 11 landing site_chip_0111.tif,0.010976232588291168,False
data\processed\test_chips\Apollo 11 landing site_chip_0112.tif,0.010989455506205559,False
data\processed\test_chips\Apollo 11 landing site_chip_0113.tif,0.016038307920098305,False
data\processed\test_chips\Apollo 11 landing site_chip_0114.tif,0.012990489602088928,False
data\processed\test_chips\Apollo 11 landing site_chip_0115.tif,0.01865890994668007,False
data\processed\test_chips\Apollo 11 landing site_chip_0116.tif,0.01534541416913271,False
data\processed\test_chips\Apollo 11 landing site_chip_0117.tif,0.011061564087867737,False
data\processed\test_chips\Apollo 11 landing site_chip_0118.tif,0.01037710439413786,False
data\processed\test_chips\Apollo 11 landing site_chip_0119.tif,0.017555613070726395,False
data\processed\test_chips\Apollo 11 landing site_chip_0120.tif,0.010686539113521576,False
data\processed\test_chips\Apollo 11 landing site_chip_0121.tif,0.009017717093229294,False
data\processed\test_chips\Apollo 11 landing site_chip_0122.tif,0.013142239302396774,False
data\processed\test_chips\Apollo 11 landing site_chip_0123.tif,0.009742327965795994,False
data\processed\test_chips\Apollo 11 landing site_chip_0124.tif,0.007065960206091404,False
data\processed\test_chips\Apollo 11 landing site_chip_0125.tif,0.015930501744151115,False
data\processed\test_chips\Apollo 11 landing site_chip_0126.tif,0.011363137513399124,False
data\processed\test_chips\Apollo 11 landing site_chip_0127.tif,0.018482400104403496,False
data\processed\test_chips\Apollo 11 landing site_chip_0128.tif,0.01756194978952408,False
data\processed\test_chips\Apollo 11 landing site_chip_0129.tif,0.02357667125761509,True
data\processed\test_chips\Apollo 11 landing site_chip_0130.tif,0.016169283539056778,False
data\processed\test_chips\Apollo 11 landing site_chip_0131.tif,0.012006313540041447,False
data\processed\test_chips\Apollo 11 landing site_chip_0132.tif,0.00818630214780569,False
data\processed\test_chips\Apollo 11 landing site_chip_0133.tif,0.014243408106267452,False
data\processed\test_chips\Apollo 11 landing site_chip_0134.tif,0.01062849536538124,False
data\processed\test_chips\Apollo 11 landing site_chip_0135.tif,0.015495555475354195,False
data\processed\test_chips\Apollo 11 landing site_chip_0136.tif,0.018471384420990944,False
data\processed\test_chips\Apollo 11 landing site_chip_0137.tif,0.005842774175107479,False
data\processed\test_chips\Apollo 11 landing site_chip_0138.tif,0.020272299647331238,True
data\processed\test_chips\Apollo 11 landing site_chip_0139.tif,0.013857178390026093,False
data\processed\test_chips\Apollo 11 landing site_chip_0140.tif,0.01196106243878603,False
data\processed\test_chips\Apollo 11 landing site_chip_0141.tif,0.013788335025310516,False
data\processed\test_chips\Apollo 11 landing site_chip_0142.tif,0.004782003350555897,False
data\processed\test_chips\Apollo 11 landing site_chip_0143.tif,0.010062671266496181,False
data\processed\test_chips\Apollo 11 landing site_chip_0144.tif,0.016158338636159897,False
data\processed\test_chips\Apollo 11 landing site_chip_0145.tif,0.01982329972088337,True
data\processed\test_chips\Apollo 11 landing site_chip_0146.tif,0.02106618881225586,True
data\processed\test_chips\Apollo 11 landing site_chip_0147.tif,0.016271689906716347,False
data\processed\test_chips\Apollo 11 landing site_chip_0148.tif,0.01205668319016695,False
data\processed\test_chips\Apollo 11 landing site_chip_0149.tif,0.011682707816362381,False
data\processed\test_chips\Apollo 11 landing site_chip_0150.tif,0.010128003545105457,False
data\processed\test_chips\Apollo 11 landing site_chip_0151.tif,0.0214852225035429,True
